Fichero Partido,Género Partido,Fase Partido,ID Partido,Ronda Partido,Flag Exento Partido,Torneo,Tipo Torneo
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_8,Previa Ronda 1,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_9,Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_10,Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_11,Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_PREVIA.txt,M,PREVIA,CHBCN_2015_M_PREVIA_12,Previa Ronda 2,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_1,1/16 Final,1,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_2,1/16 Final,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_3,1/16 Final,1,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_4,1/16 Final,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_5,1/16 Final,1,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_6,1/16 Final,0,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_7,1/16 Final,1,CHALLENGER CÓRDOBA,CHALLENGER
WPT_FMT_CHCOR_2015_M_CUADRO.TXT,M,CUADRO,CHCOR_2015_M_CUADRO_8,1/16 Final,0,CHALLENGER CÓRDOBA,CHALLENGER
